,x0,f(x0),Iterações,Tempo,Epsilon,Valor inicial,Distancia,Convergiu
501,-8.117987825567102,-2.7983892980643077e-10,23.0,233200.0,1e-09,0.6239436012282266,1.0,1.0
502,-1.334364062333834,-5.329070518200751e-15,5.0,99400.0,1e-09,0.975438687629598,1.0,1.0
503,-1.183114422883145,-2.6579849432550873e-12,6.0,105000.0,1e-09,0.17829925751702846,1.0,1.0
504,-0.6941404185177277,-1.171673869038159e-12,14.0,165700.0,1e-09,0.2690444659177803,1.0,1.0
505,-1.449152547541092,-1.1102230246251565e-16,19.0,203200.0,1e-09,0.20174338830014937,1.0,1.0
506,-0.32706687562556436,0.0,5.0,99100.0,1e-09,0.6794610815529262,1.0,1.0
507,-0.23987609694371476,3.164135620181696e-15,4.0,91900.0,1e-09,0.2582808879849977,1.0,1.0
508,-0.9684366714711246,-2.220446049250313e-16,5.0,99200.0,1e-09,0.7025769314730881,1.0,1.0
509,-1.005281698881936,-6.014078124394473e-11,4.0,91500.0,1e-09,0.13821030121620426,1.0,1.0
510,-1.0484782325001714,5.551115123125783e-17,9.0,129400.0,1e-09,0.5656042846609538,1.0,1.0
511,-1.2233857038064295,3.3306690738754696e-16,5.0,98500.0,1e-09,0.818005885298378,1.0,1.0
512,-1.2540009828167145,-9.159339953157541e-16,29.0,280400.0,1e-09,0.7887700609215007,1.0,1.0
513,-3.740210221007726,-3.3306690738754696e-16,9.0,135700.0,1e-09,0.7893322477409874,1.0,1.0
514,-0.4197042251849425,-2.7755575615628914e-17,6.0,106100.0,1e-09,0.7848087216389167,1.0,1.0
515,-1.5793690032891334,-2.453592884421596e-14,9.0,129200.0,1e-09,0.38498112741032375,1.0,1.0
516,-1.3731103782989234,1.1102230246251565e-16,13.0,162400.0,1e-09,0.942920183356762,1.0,1.0
517,-0.755917745252233,0.0,5.0,99500.0,1e-09,0.9606716826416094,1.0,1.0
518,-1.9648602838639013,-2.256717035464817e-11,6.0,106700.0,1e-09,0.7083609030956465,1.0,1.0
519,-1.9283186121554914,-2.220446049250313e-16,15.0,173900.0,1e-09,0.9034527810096257,1.0,1.0
520,-0.1420199951135423,5.66893587627959e-10,4.0,90500.0,1e-09,0.6204835354498806,1.0,1.0
521,-0.75776343535764,0.0,6.0,106400.0,1e-09,0.8920780651481064,1.0,1.0
522,-1.0606772148669141,1.1102230246251565e-16,5.0,99400.0,1e-09,0.5391982668659928,1.0,1.0
523,-0.7986987757779809,-2.747913008249725e-12,8.0,121000.0,1e-09,0.9275156309900306,1.0,1.0
524,-0.6846596650375047,-3.1178171155943346e-11,6.0,107300.0,1e-09,0.1861553755633809,1.0,1.0
525,-0.8100270863748996,4.9404924595819466e-15,9.0,129200.0,1e-09,0.24108067044258696,1.0,1.0
526,-1.537627768315594,5.603967290213063e-10,6.0,106700.0,1e-09,0.2871820514011757,1.0,1.0
